Thu Dec 16 00:45:19 2021    output.dat

         18333277 function calls (17923685 primitive calls) in 9.899 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  3444385    0.476    0.000    0.476    0.000 D:\Python_3_10\lib\site-packages\fastenum\fastenum.py:100(__hash__)
  2169259    0.640    0.000    0.848    0.000 {method 'get' of 'dict' objects}
  1434051    0.835    0.000    1.099    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\CardList.py:10(<dictcomp>)
  1434051    0.846    0.000    1.945    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\CardList.py:8(__init__)
  1431498    0.181    0.000    0.181    0.000 {method 'items' of 'dict' objects}
  1420586    1.088    0.000    1.983    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\CardList.py:81(has)
  1220540    0.236    0.000    0.236    0.000 D:\Python_3_10\lib\site-packages\fastenum\fastenum.py:83(<genexpr>)
   819512    0.472    0.000    1.341    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\RouteCost.py:33(<genexpr>)
   818150    0.530    0.000    1.535    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\RouteCost.py:31(<genexpr>)
743864/380958    0.092    0.000    4.578    0.000 {built-in method builtins.len}
   380004    0.083    0.000    0.083    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\Game.py:92(current_player)
   376794    0.787    0.000    7.979    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\ClaimRouteAction.py:8(static_validation)
   323226    0.927    0.000    5.715    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\RouteCost.py:24(<genexpr>)
   256423    0.121    0.000    5.825    0.000 {built-in method builtins.next}
   254904    0.313    0.000    7.046    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\RouteCost.py:23(best_payment_option)
   254904    0.479    0.000    0.887    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\RouteCost.py:29(__options)
   229192    0.076    0.000    0.102    0.000 D:\Python_3_10\lib\site-packages\fastenum\fastenum.py:88(__len__)
   165573    0.052    0.000    0.052    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\Action.py:5(__init__)
   126346    0.018    0.000    0.021    0.000 {built-in method builtins.isinstance}
