Tue Dec  7 13:32:21 2021    output.dat

         140552197 function calls (136789555 primitive calls) in 72.176 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  9465855   10.089    0.000   17.090    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\CardList.py:8(__init__)
  9400560    7.735    0.000   13.175    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\CardList.py:82(has)
 25589890    7.538    0.000   10.405    0.000 {method 'get' of 'dict' objects}
  2070218    5.911    0.000   42.111    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\RouteCost.py:24(<genexpr>)
  2810157    4.870    0.000    6.536    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\ClaimRouteAction.py:9(__init__)
 34369820    4.423    0.000    4.423    0.000 D:\MiniConda\lib\site-packages\fastenum\fastenum.py:100(__hash__)
  5348928    3.664    0.000   13.199    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\RouteCost.py:31(<genexpr>)
  2810157    3.382    0.000   53.690    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\ClaimRouteAction.py:28(is_valid)
  5433853    3.262    0.000   10.314    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\RouteCost.py:33(<genexpr>)
  1658088    3.076    0.000    5.503    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\RouteCost.py:29(__options)
    28361    2.618    0.000   62.751    0.002 D:\Programming\TicketToRideMCCFR_TDD\src\training\ActionSpace.py:46(<listcomp>)
  1658088    1.931    0.000   50.372    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\RouteCost.py:23(best_payment_option)
  7796410    1.348    0.000    1.348    0.000 D:\MiniConda\lib\site-packages\fastenum\fastenum.py:83(<genexpr>)
  9426492    1.093    0.000    1.093    0.000 {method 'items' of 'dict' objects}
  4036770    0.968    0.000    0.968    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\Action.py:5(__init__)
   851979    0.918    0.000    1.275    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\SelectDestinationAction.py:7(__init__)
   217442    0.817    0.000    0.817    0.000 {built-in method numpy.array}
  1664395    0.758    0.000   42.792    0.000 {built-in method builtins.next}
    28361    0.694    0.000    2.188    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\ActionSpace.py:54(<listcomp>)
5233521/1787626    0.595    0.000   45.990    0.000 {built-in method builtins.len}
   779641    0.518    0.000    0.635    0.000 D:\MiniConda\lib\site-packages\fastenum\fastenum.py:82(__iter__)
     9453    0.465    0.000    0.540    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
  1479387    0.464    0.000    0.620    0.000 D:\MiniConda\lib\site-packages\fastenum\fastenum.py:88(__len__)
  3731177    0.410    0.000    0.418    0.000 {built-in method builtins.isinstance}
   258451    0.405    0.000    1.231    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\DrawVisibleCardAction.py:21(is_valid)
257620/55    0.363    0.000    0.841    0.015 D:\MiniConda\lib\copy.py:128(deepcopy)
    28361    0.315    0.000    1.819    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\ActionSpace.py:50(<listcomp>)
     9453    0.281    0.000    0.281    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\Strategy.py:21(<listcomp>)
    19556    0.278    0.000    0.392    0.000 {built-in method builtins.sum}
   851979    0.224    0.000    0.224    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\SelectDestinationAction.py:24(is_valid)
    37832    0.181    0.000    0.298    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   258451    0.176    0.000    0.239    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\DrawVisibleCardAction.py:10(__init__)
    28360    0.176    0.000   68.578    0.002 D:\Programming\TicketToRideMCCFR_TDD\src\training\ActionSpace.py:57(to_np_array)
    15988    0.149    0.000    0.331    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\CardList.py:41(__add__)
     9453    0.125    0.000    0.803    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\Strategy.py:10(normalize)
   779641    0.117    0.000    0.117    0.000 {method 'values' of 'collections.OrderedDict' objects}
 27830/55    0.097    0.000    0.840    0.015 D:\MiniConda\lib\copy.py:258(_reconstruct)
 25905/55    0.090    0.000    0.839    0.015 D:\MiniConda\lib\copy.py:226(_deepcopy_dict)
    29665    0.078    0.000    0.103    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\DrawRandomCardAction.py:15(is_valid)
    28361    0.069    0.000    1.996    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\ActionSpace.py:49(drawable_visible_colored_cards)
    28361    0.066    0.000   63.102    0.002 D:\Programming\TicketToRideMCCFR_TDD\src\training\ActionSpace.py:45(claimable_routes)
     6072    0.061    0.000    0.133    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\CardList.py:53(__sub__)
     9453    0.057    0.000   70.162    0.007 D:\Programming\TicketToRideMCCFR_TDD\src\training\ActionSpace.py:68(get_action_id)
    28361    0.054    0.000    2.359    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\ActionSpace.py:53(selectable_destinations)
    28361    0.054    0.000    0.185    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\ActionSpace.py:36(can_draw_destinations)
    28947    0.049    0.000    0.053    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\DrawDestinationsAction.py:15(is_valid)
    28813    0.045    0.000    0.101    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\DrawWildCardAction.py:16(is_valid)
    28361    0.045    0.000    0.195    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\ActionSpace.py:33(can_draw_wild)
    28361    0.044    0.000    0.159    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\ActionSpace.py:39(can_finish_selecting_destinations)
    28361    0.043    0.000    0.191    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\ActionSpace.py:42(can_draw_random_card)
   390839    0.043    0.000    0.043    0.000 {built-in method builtins.id}
    65285    0.040    0.000    0.056    0.000 D:\MiniConda\lib\copy.py:242(_keep_alive)
    28361    0.039    0.000    0.220    0.000 <__array_function__ internals>:2(concatenate)
     6307    0.038    0.000    0.062    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\Destination.py:30(<listcomp>)
    28758    0.035    0.000    0.066    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\FinishSelectingDestinationsAction.py:16(is_valid)
     9452    0.034    0.000    0.084    0.000 D:\MiniConda\lib\site-packages\numpy\core\fromnumeric.py:39(_wrapit)
     9508    0.032    0.000    0.079    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\ActionSpace.py:82(get_action_by_id)
     4958    0.028    0.000    0.067    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\CardList.py:99(draw_train_card)
    18906    0.026    0.000   45.764    0.002 D:\Programming\TicketToRideMCCFR_TDD\src\training\ActionSpace.py:20(__len__)
    18906    0.026    0.000    0.031    0.000 D:\MiniConda\lib\site-packages\numpy\core\getlimits.py:366(__new__)
     9452    0.026    0.000    0.026    0.000 {method 'repeat' of 'numpy.ndarray' objects}
   142949    0.026    0.000    0.026    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\Route.py:16(has_city)
14135/14025    0.023    0.000    0.079    0.000 D:\MiniConda\lib\copy.py:200(_deepcopy_list)
       55    0.022    0.000   71.277    1.296 D:\Programming\TicketToRideMCCFR_TDD\src\training\GameTree.py:24(simulate_random_until_game_over)
     9452    0.021    0.000   70.253    0.007 D:\Programming\TicketToRideMCCFR_TDD\src\training\ActionSpace.py:78(get_action)
     9508    0.020    0.000    1.010    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\GameTree.py:15(next)
     9452    0.020    0.000    0.107    0.000 D:\MiniConda\lib\site-packages\numpy\core\fromnumeric.py:52(_wrapfunc)
     4718    0.020    0.000    0.426    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\GameNode.py:50(next)
   152185    0.019    0.000    0.019    0.000 D:\MiniConda\lib\copy.py:182(_deepcopy_atomic)
6307/1424    0.019    0.000    0.089    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\Destination.py:26(search)
     4790    0.019    0.000    0.435    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\GameNode.py:25(next)
     3654    0.018    0.000    0.386    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\Game.py:81(take_card)
    18906    0.018    0.000    0.027    0.000 D:\MiniConda\lib\site-packages\numpy\core\numerictypes.py:286(issubclass_)
    55660    0.018    0.000    0.066    0.000 D:\MiniConda\lib\copy.py:263(<genexpr>)
     2418    0.017    0.000    0.194    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\ClaimRouteAction.py:36(execute)
     9453    0.017    0.000    0.045    0.000 D:\MiniConda\lib\site-packages\numpy\core\numerictypes.py:360(issubdtype)
   116343    0.017    0.000    0.017    0.000 {method 'append' of 'list' objects}
     4958    0.016    0.000    0.181    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\CardList.py:92(get_random)
    74564    0.016    0.000    0.016    0.000 {built-in method builtins.getattr}
       66    0.015    0.000    0.027    0.000 {built-in method builtins.print}
    56219    0.014    0.000    0.014    0.000 {built-in method builtins.issubclass}
    25245    0.013    0.000    0.013    0.000 {method '__reduce_ex__' of 'object' objects}
    68694    0.012    0.000    0.012    0.000 {method 'keys' of 'dict' objects}
    25245    0.012    0.000    0.016    0.000 D:\MiniConda\lib\copyreg.py:90(__newobj__)
    29665    0.012    0.000    0.012    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\CardList.py:68(__eq__)
     9452    0.011    0.000    0.149    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\Strategy.py:6(random)
     9452    0.011    0.000    0.138    0.000 <__array_function__ internals>:2(repeat)
     9452    0.010    0.000    0.117    0.000 D:\MiniConda\lib\site-packages\numpy\core\fromnumeric.py:437(repeat)
     9508    0.010    0.000    0.012    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\Action.py:21(execute)
     3202    0.009    0.000    0.351    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\DrawVisibleCardAction.py:27(execute)
     5035    0.009    0.000    0.031    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\FinishSelectingDestinationsAction.py:26(__minimum_number_of_destinations_were_selected)
     6700    0.009    0.000    0.012    0.000 D:\MiniConda\lib\random.py:250(_randbelow_with_getrandbits)
    28361    0.008    0.000    0.008    0.000 D:\MiniConda\lib\site-packages\numpy\core\multiarray.py:143(concatenate)
    25254    0.008    0.000    0.008    0.000 {method 'update' of 'dict' objects}
     4958    0.006    0.000    0.017    0.000 D:\MiniConda\lib\random.py:285(choice)
    14703    0.006    0.000    0.016    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\FinishSelectingDestinationsAction.py:28(<genexpr>)
     1149    0.005    0.000    0.008    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\SelectDestinationAction.py:29(execute)
     6207    0.005    0.000    0.005    0.000 {built-in method _abc._abc_instancecheck}
     9461    0.005    0.000    0.021    0.000 D:\MiniConda\lib\site-packages\numpy\core\_asarray.py:14(asarray)
     1304    0.005    0.000    0.088    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\DrawRandomCardAction.py:20(execute)
     4958    0.005    0.000    0.009    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\CardList.py:79(number_of_cards)
      586    0.004    0.000    0.010    0.000 D:\MiniConda\lib\random.py:315(sample)
        1    0.004    0.004   72.142   72.142 D:\Programming\TicketToRideMCCFR_TDD\src\training\ActionUtility.py:22(from_all_branches)
    25249    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
    25245    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x00007FFDF837B810}
      586    0.004    0.000    0.015    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\DrawDestinationsAction.py:20(execute)
     1424    0.004    0.000    0.096    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\Destination.py:20(path_from)
     3697    0.003    0.000    0.006    0.000 D:\MiniConda\lib\site-packages\fastenum\fastenum.py:64(__call__)
     2841    0.003    0.000    0.004    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\GameNode.py:47(__init__)
     2868    0.003    0.000    0.004    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\GameNode.py:22(__init__)
    12449    0.003    0.000    0.003    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\Destination.py:28(<genexpr>)
     6207    0.003    0.000    0.008    0.000 D:\MiniConda\lib\abc.py:96(__instancecheck__)
     1304    0.003    0.000    0.082    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\Game.py:87(take_random)
     5599    0.002    0.000    0.002    0.000 {built-in method builtins.any}
     5709    0.002    0.000    0.002    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\GameNode.py:9(__init__)
    11447    0.002    0.000    0.002    0.000 {method 'getrandbits' of '_random.Random' objects}
     2814    0.002    0.000    0.002    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\GameNode.py:31(<listcomp>)
     2785    0.002    0.000    0.002    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\GameNode.py:58(<listcomp>)
     9452    0.002    0.000    0.002    0.000 D:\MiniConda\lib\site-packages\numpy\core\fromnumeric.py:433(_repeat_dispatcher)
     1534    0.002    0.000    0.098    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\Player.py:37(<genexpr>)
     2090    0.001    0.000    0.003    0.000 D:\MiniConda\lib\enum.py:278(__call__)
      452    0.001    0.000    0.050    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\DrawWildCardAction.py:22(execute)
     1424    0.001    0.000    0.003    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\RouteCost.py:7(__init__)
     3567    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
     6700    0.001    0.000    0.001    0.000 {method 'bit_length' of 'int' objects}
     6492    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
    573/9    0.001    0.000    0.004    0.000 D:\MiniConda\lib\site-packages\numpy\core\arrayprint.py:718(recurser)
     2090    0.001    0.000    0.001    0.000 D:\MiniConda\lib\enum.py:557(__new__)
      846    0.001    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.dragon4_positional}
      423    0.001    0.000    0.002    0.000 D:\MiniConda\lib\site-packages\numpy\core\arrayprint.py:947(__call__)
     1424    0.001    0.000    0.001    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\Route.py:7(__init__)
      397    0.001    0.000    0.001    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\FinishSelectingDestinationsAction.py:21(execute)
     2090    0.001    0.000    0.001    0.000 D:\MiniConda\lib\enum.py:644(__reduce_ex__)
     1149    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
      564    0.001    0.000    0.001    0.000 D:\MiniConda\lib\site-packages\numpy\core\arrayprint.py:695(_extendLine)
      586    0.000    0.000    0.000    0.000 {built-in method builtins.min}
